☘️广东频道,#genre#
潮州综合,http://121.11.160.7:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$自用源00
潮州综合,http://211.97.63.3:801/hls/503/index.m3u8$自用源01
潮州综合,http://louislog.cn:8888/rtp/239.253.43.70:5146$自用源02
潮州综合,http://home.zackfair1993.xyz:8686/rtp/239.253.43.70:5146$自用源03
潮州综合,http://www.mhnas.top:4022/udp/239.253.43.70:5146$自用源04
潮州民生,http://fannas.cn:8888/rtp/239.253.43.75:5146$自用源01
潮州民生,http://louislog.cn:8888/rtp/239.253.43.75:5146$自用源02
潮州民生,http://home.zackfair1993.xyz:8686/rtp/239.253.43.75:5146$自用源03
潮州民生,http://www.mhnas.top:4022/udp/239.253.43.75:5146$自用源04
潮州民生,http://113.64.146.99:9901/hls/6/index.m3u8$订阅源-1920x1080
潮州民生高清,http://fannas.cn:8888/rtp/239.253.43.75:5146$自用源01
潮州民生高清,http://louislog.cn:8888/rtp/239.253.43.75:5146$自用源02
潮州民生高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.75:5146$自用源03
潮州民生高清,http://www.mhnas.top:4022/udp/239.253.43.75:5146$自用源04
潮州民生高清,http://113.64.146.99:9901/hls/6/index.m3u8$订阅源-1920x1080
潮州综合高清,http://121.11.160.7:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$自用源00
潮州综合高清,http://211.97.63.3:801/hls/503/index.m3u8$自用源01
潮州综合高清,http://louislog.cn:8888/rtp/239.253.43.70:5146$自用源02
潮州综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.70:5146$自用源03
潮州综合高清,http://www.mhnas.top:4022/udp/239.253.43.70:5146$自用源04
汕头综合,http://113.64.146.99:9901/hls/4/index.m3u8$订阅源-1920x1080
汕头综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=572621&tk=822270345d4c$订阅源
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.30:5146$组播源
汕头经济,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=b8803a&tk=822270345d4c$订阅源
汕头经济,http://120.77.205.62:8087/rtp/239.253.43.43:5146$组播源
汕头新闻综合,http://tv.zzlag.top:9003/hls/3/index.m3u8$自用源02
汕头新闻综合,http://home.zackfair1993.xyz:8686/rtp/239.253.43.45:5146$自用源03
汕头新闻综合,http://www.mhnas.top:4022/udp/239.253.43.45:5146$自用源04
汕头经济生活,http://louislog.cn:8888/rtp/239.253.43.46:5146$自用源02
汕头经济生活,http://home.zackfair1993.xyz:8686/rtp/239.253.43.46:5146$自用源03
汕头经济生活,http://www.mhnas.top:4022/udp/239.253.43.46:5146$自用源04
揭阳生活,http://louislog.cn:8888/rtp/239.77.0.251:5146$自用源02
揭阳生活,http://home.zackfair1993.xyz:8686/rtp/239.77.0.251:5146$自用源03
揭阳生活,http://www.mhnas.top:4022/udp/239.77.0.251:5146$自用源04
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8$订阅源-1280x720
揭阳综合,http://louislog.cn:8888/rtp/239.77.0.229:5146$自用源02
揭阳综合,http://home.zackfair1993.xyz:8686/rtp/239.77.0.229:5146$自用源03
揭阳综合,http://www.mhnas.top:4022/udp/239.77.0.229:5146$自用源04
揭阳综合,http://113.64.146.99:9901/hls/2/index.m3u8$订阅源-1920x1080
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8$订阅源-1280x720
揭阳综合,rtmp://rtmp-stjy.sobeylive.com/stjy2020/zhpd?sign=bf98b2873ad5403290a37d16569d7a06&t=639de420$订阅源

📺央视频道,#genre#
CCTV-1,http://goo.bkpcp.top/mg/cctv1$白名单
CCTV-1,http://smart.tv.home.kg/smtv.php?id=cctv1$订阅源-1920x1080
CCTV-1,http://113.64.146.99:9901/hls/18/index.m3u8$订阅源-1920x1080
CCTV-1,http://119.123.176.146:8086/hls/2/index.m3u8$订阅源-1920x1080
CCTV-1,http://fxgm.fxjf.work:19901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV-1,http://123.159.35.24:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源-1920x1080
CCTV-1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源-1920x1080
